ID,Name,Description,Tier,Cost,Base HP,Base PWR,Ability 1 Name,Ability 1 Desc,Ability 2 Name,Ability 2 Desc,Ability 3 Name,Ability 3 Desc
unit_dust_elite_t2,Dust Sentinel (T2),A sentinel. Spawns random T1 or T2 Dust units on Ally Death or when Hurt. Gains HP and PWR based on the tier of any dying Dust unit.,2,4,4,4,Call Reinforcements,"At end of turn, summon units to fill empty team slots. [Target: SELF]",Dust Pulse (Death T1/T2),Spawns a random T1 or T2 Dust unit when an Ally dies. [Target: TRIGGERING_ENTITY],Dust Growth,"Gains HP and PWR based on the tier of any dying Dust unit (e.g., +1/+1 for T1, +2/+2 for T2). [Target: SELF]"
unit_dust_t2,Dust Minion (T2),A construct. Stays in the fight.,2,2,2,2,Basic Attack,Deal (PWR) damage to the frontmost enemy.,,,,
unit_dust_elite_t3,Dust Overlord (T3),"An overlord. Spawns random T1, T2, or T3 Dust units on Ally Death. Gains HP and PWR based on the tier of any dying Dust unit.",3,5,5,5,Call Reinforcements,"At end of turn, summon units to fill empty team slots. [Target: SELF]",Universal Dust Pulse (Death),Spawns a random T1 [Target: TRIGGERING_ENTITY],Dust Growth,"Gains HP and PWR based on the tier of any dying Dust unit (e.g., +1/+1 for T1, +2/+2 for T2). [Target: SELF]"
unit_dust_t3,Dust Minion (T3),A heavy construct. Stays in the fight.,3,3,3,3,Basic Attack,Deal (PWR) damage to the frontmost enemy.,,,,
unit_t1_a,Rocky,Novice unit.,1,1,2,1,Basic Attack,Deal (PWR) damage to the frontmost enemy.,Resilience,"When hurt BY AN ATTACK, Heal this unit by 1 HP. [Target: HOLDER]",Resilience,"When hurt BY AN ATTACK, Heal this unit by 2 HP. [Target: HOLDER]"
unit_t1_b,Burny,Loyal squire.,1,1,1,2,Basic Attack,Deal (PWR) damage to the frontmost enemy.,Retaliation,"When hurt BY AN ATTACK, shoot a projectile at the attacker dealing damage equal to PWR. Triggers even if lethal. [Target: ATTACKER] [Trigger: CAUSE_ATTACK]",Retaliation,"When hurt BY AN ATTACK, shoot a projectile at the attacker dealing damage equal to PWR. The projectile then bounces to another random enemy, dealing half damage. [Target: ATTACKER] [Trigger: CAUSE_ATTACK]"
unit_t1_c,Dewey,Steadfast guardian.,1,1,1,1,Basic Attack,Deal (PWR) damage to the frontmost enemy.,Guardian's Grace,"When the ally directly in front takes damage, heal them for 1 HP. [Target: ALLY_SLOT_AHEAD]",Guardian's Grace,"When the ally directly in front takes damage, heal them for 2 HP. [Target: ALLY_SLOT_AHEAD]"
unit_t1_d,Windy,Sensitive soul.,1,1,1,1,Basic Attack,Deal (PWR) damage to the frontmost enemy.,Empathic Link,"When this unit dies, grant its current PWR to the ally behind. [Target: ALLY_BEHIND]",Empathic Link,"When this unit dies, grant its current PWR to the ally behind, and half of that to the next ally. [Target: ALLY_BEHIND]"
unit_t2_c,Knight,Valiant knight.,2,2,3,3,,,,,,
unit_t2_d,Templar,A devout templar.,2,2,2,3,Basic Attack,Deal (PWR) damage to the frontmost enemy.,Token Power,PWR equals 100% of Tokens (Min 1). PWR buffs become HP. [Target: SELF],Token Power,PWR equals 100% of Tokens (Min 1). PWR buffs become HP. [Target: SELF]
unit_t2_f,Merchant,Traveling merchant.,2,2,3,2,Basic Attack,Deal (PWR) damage to the frontmost enemy.,Gold Investments,Initial PWR equals your current Gold multiplied by 50% when drawn or spawned. [Target: SELF],Gold Investments,Initial PWR equals your current Gold multiplied by 100% when drawn or spawned. [Target: SELF]
unit_t2_h,Hermit,Solitary warrior.,2,2,2,2,Basic Attack,Deal (PWR) damage to the frontmost enemy.,Solitary Strength,"At start of combat, gain +1 HP and +1 PWR for each empty slot in your team. [Target: SELF]",Solitary Strength,"At start of combat, gain +2 HP and +2 PWR for each empty slot in your team. [Target: SELF]"
unit_t2_i,Mud Wretch,Mud creature.,2,2,3,2,Mud Coating,"When healed, gain 1 Armor and 1 Spikes.",Mud Coating,"When healed, gain 2 Armor and 2 Spikes.",Mud Coating,"When healed, gain 3 Armor and 3 Spikes."
unit_t2_j,Steam Wisp,Scalding spirit.,2,2,2,3,Basic Attack,Deal (PWR) damage to the frontmost enemy.,Scald,"When this unit is healed, shoot a bouncing burn projectile at a random enemy, applying Burn stacks equal to the heal amount.",Scald,"When this unit is healed, shoot a bouncing burn projectile at a random enemy, applying Burn stacks equal to the heal amount. It bounces to 1 extra target, halving the stacks applied."
unit_t3_a,Shadow Striker,Master of precise strikes.,3,4,5,5,Mirror Strike,Attacks enemy in opposite mirror slot for 100% damage. [Target: MIRROR_SLOT_ENEMY] [Trigger: CAUSE_TURN],Mirror Strike,Attacks enemy in opposite mirror slot for 150% damage. [Target: MIRROR_SLOT_ENEMY] [Trigger: CAUSE_TURN],Mirror Strike,Attacks enemy in opposite mirror slot for 200% damage. [Target: MIRROR_SLOT_ENEMY] [Trigger: CAUSE_TURN]
unit_t3_b,Guardian Sentinel,Stalwart protector.,3,4,5,5,Guardian Sacrifice,Leaps to intercept lethal damage on allies. [Target: SELF],Guardian Sacrifice,Leaps to intercept lethal damage on allies and gains 1 Armor. [Target: SELF],Guardian Sacrifice,Leaps to intercept lethal damage on allies and gains 2 Armor. [Target: SELF]
unit_t3_berserker,Berserker,Powerful warrior.,3,4,5,6,Shockwave,Deals 100% cascade AOE damage to front enemy and units behind. [Target: FRONTMOST_ENEMY] [Trigger: CAUSE_TURN],Shockwave,Deals 150% cascade AOE damage to front enemy and units behind. [Target: FRONTMOST_ENEMY] [Trigger: CAUSE_TURN],Shockwave,Deals 200% cascade AOE damage to front enemy and units behind. [Target: FRONTMOST_ENEMY] [Trigger: CAUSE_TURN]
unit_t3_c,Soul Caller,Mystical unit.,3,4,5,5,Soul Summon,Summons a random Level 1 Tier 2 unit on death. [Target: SELF],Soul Summon,Summons a random Level 2 Tier 2 unit on death. [Target: SELF],Soul Summon,Summons a random Level 3 Tier 2 unit on death. [Target: SELF]
unit_t3_d,Sakura Spirit,A powerful spirit guarding the cherry blossoms.,3,4,6,5,Resilient Aura,Grants +1 HP and +1 PWR to adjacent allies when hurt by an attack. [Target: ADJACENT_ALLIES],Resilient Aura,Grants +2 HP and +1 PWR to adjacent allies when hurt by an attack. [Target: ADJACENT_ALLIES],Resilient Aura,Grants +2 HP and +2 PWR to adjacent allies when hurt by an attack. [Target: ADJACENT_ALLIES]
unit_t3_e,Dreadnought,A terrifying predator that strikes down newly summoned enemies.,3,4,6,5,Ambush Predator,Deals damage to enemies equal to 100% of PWR when they are summoned. [Target: TRIGGERING_ENTITY],Ambush Predator,Deals damage to enemies equal to 150% of PWR when they are summoned. [Target: TRIGGERING_ENTITY],Ambush Predator,Deals damage to enemies equal to 200% of PWR when they are summoned. [Target: TRIGGERING_ENTITY]
unit_t3_f,Warden,A protective guardian that empowers newly summoned allies.,3,4,5,5,Summon Blessing,Grants +3 HP to newly summoned allies. [Target: TRIGGERING_ENTITY],Summon Blessing,Grants +5 HP to newly summoned allies. [Target: TRIGGERING_ENTITY],Summon Blessing,Grants +7 HP to newly summoned allies. [Target: TRIGGERING_ENTITY]
unit_t3_g,Phantom Wayfarer,Mysterious traveler.,3,4,4,5,Basic Attack,Deal (PWR) damage to the frontmost enemy.,Quiet Meditation,"If on the player bench at start of turn, gain +3 HP and PWR. [Target: SELF]",Quiet Meditation,"If on the player bench at start of turn, gain +5 HP and PWR. [Target: SELF]"
unit_t3_h,Fusion Warden,Volatile hybrid.,3,4,5,5,Basic Attack,Deal (PWR) damage to the frontmost enemy.,Convergence Surge,"Whenever a merge happens on the battle board, gain +2 HP and PWR. [Target: SELF]",Convergence Surge,"Whenever a merge happens on the battle board, gain +3 HP and PWR. [Target: SELF]"
unit_t3_i,Doppleganger,Volatile clone.,3,4,5,4,Basic Attack,Deal (PWR) damage to the frontmost enemy.,Mirrored Might,Gains +3 PWR for each other Doppleganger in battle. [Target: NONE],Mirrored Might,Gains +4 PWR for each other Doppleganger in battle. [Target: NONE]
unit_t3_j,Standard Bearer,Valiant commander.,3,4,5,5,Standard's Legacy,"On death, transfers its equipped item to the ally directly behind it. [Target: ALLY_BEHIND]",Standard's Legacy,"On death, transfers its equipped item to the ally behind and 1 copy behind them. [Target: ALLY_BEHIND]",Standard's Legacy,"On death, transfers its equipped item to the ally behind and 2 copies behind them. [Target: ALLY_BEHIND]"
unit_t3_l,Golden Hermit,A solitary sage of wealth.,3,4,5,4,Basic Attack,Deal (PWR) damage to the frontmost enemy.,Wealth Accumulation,"At the start of each turn, permanently gain +3 HP and +3 PWR for every 5 Gold you currently have. [Target: SELF]",Wealth Accumulation,"At the start of each turn, permanently gain +4 HP and +4 PWR for every 5 Gold you currently have. [Target: SELF]"
unit_t3_mimic,Mimic,Mysterious entity.,3,4,6,4,Mirror Image,Transforms into the enemy unit in the mirror slot (+0 Level). [Target: NONE],Mirror Image,Transforms into the enemy unit in the mirror slot (+1 Level). [Target: NONE],Mirror Image,Transforms into the enemy unit in the mirror slot (Level 3 MAX). [Target: NONE]
unit_t3_paladin,Paladin,Heavily armored tank.,3,4,5,6,Defensive Stance,Gain +2 HP before taking damage. [Target: SELF],Defensive Stance,Gain +4 HP before taking damage. [Target: SELF],Defensive Stance,Gain +6 HP before taking damage. [Target: SELF]
unit_t3_shadow,Shadow Cloner,Ethereal unit.,3,4,4,5,Buff Echo,Grants an additional copy of any buff received by an adjacent ally at 100% effectiveness. [Target: TRIGGERING_ENTITY],Buff Echo,Grants an additional copy of any buff received by an adjacent ally at 150% effectiveness. [Target: TRIGGERING_ENTITY],Buff Echo,Grants an additional copy of any buff received by an adjacent ally at 200% effectiveness. [Target: TRIGGERING_ENTITY]
hero_bounty_hunter,Bounty Hunter,"A skilled hunter who profits from every kill and grows stronger from loss. Earns gold for each enemy slain, and gains +1 HP and +1 PWR when allies fall.",0,0,10,2,Bounty Hunter,Gain 1 gold when this hero kills an enemy. [Target: SELF],Scavenger's Resolve,"When an ally is defeated, gain +1 HP and +1 PWR. [Target: SELF]",,
